Portfolio,Cumulative Return,CAGR,Annualized Volatility,Maximum Drawdown,Sharpe Ratio
Strategy,0.37077806967473714,0.04953025904142816,0.16810764741330175,-0.31071709213843207,0.37202763577823666
SPY,1.358272402684475,0.140546363405454,0.19635917652834667,-0.33717266428472653,0.7698357674791841
Equal-Weight Sector Portfolio,1.0711028797312454,0.11806967780665412,0.18994787726453574,-0.3634403817589878,0.6856020335607611
