Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-21,-0.00626933258071526,-0.010635036082150117,-0.006128880900936086,-0.018515792073079577,-0.002932740337082508,-0.012554564807389767,-0.00768345019387381,0.0,0.0,0.0,-0.005762103717050938,-0.007122908432510564
2018-06-22,-0.004457218963707933,0.0,-0.001779208668891069,0.0,-0.00769829212949466,-0.009143151336456842,-0.010897129379864066,0.0,0.0,0.0,-0.0012935896838362885,-0.008814685854157131
2018-06-25,-0.018009638735230354,-0.01555020087889186,-0.022340565868463315,-0.020093355138381418,-0.01832851790088905,-0.021697124511119048,-0.031433233769550886,0.0,-0.0024761236378957807,0.0,-0.010465491373875854,-0.030362149844769565
2018-06-26,-0.015835314177658894,-0.01179081666535713,-0.02071946223531501,-0.007718297432595302,-0.021627901198555476,-0.018013264169100963,-0.027521496621603584,-0.0042395813972536,0.0,0.0,-0.013523233876302913,-0.02341717727740013
2018-06-27,-0.023988455094657083,-0.014866724829883157,-0.02926053950465128,0.0,-0.03372453747324987,-0.025928067636400032,-0.04079359290043442,-0.006359687119018785,-0.002777749275958709,0.0,-0.021872211003201917,-0.03606091449692685
2018-06-28,-0.01840803962531612,-0.011107340616348537,-0.01957267370939457,-0.0013234107394801881,-0.025293443439696705,-0.024563289260244897,-0.029058438749596387,-0.006359687119018785,0.0,-0.00038530227666109265,-0.02057851933342383,-0.028492582526698132
2018-06-29,-0.016994949789092228,-0.007689808403313301,-0.020758947954497706,0.0,-0.025293443439696705,-0.02251635834910327,-0.02947759436759376,-0.006937529561546333,0.0,0.0,-0.018579390905281216,-0.0268006591363353
2018-07-02,-0.014893067419633485,-0.012986956739119435,-0.014630310292078336,-0.014748608090019147,-0.020527972316802832,-0.02033287860441888,-0.020815808835704525,-0.012719104218205013,-0.005808578522526022,0.0,-0.015522260318504174,-0.025465264335478195
2018-07-03,-0.018371911964864485,-0.014695836821632141,-0.02669031918001372,-0.008559416172202955,-0.029325870649976913,-0.023471667714448214,-0.03241133993555028,-0.010406654368763276,-2.1383073953339556e-16,0.0,-0.013170260532266595,-0.030362149844769676
2018-07-05,-0.010363780002231171,-0.006151816329052054,-0.011862174894493207,-0.009613098802826186,-0.02712625489502646,-0.01869535754081464,-0.01872037450374253,0.0,0.0,0.0,-0.0029397447679426966,-0.02555408629933266
2018-07-06,-0.001992938786475503,-0.0011961400737621945,0.0,-0.003555336381580362,-0.022360864441650755,-0.01528358909024518,-0.007264752919909598,0.0,0.0,0.0,0.0,-0.017896713412175132
2018-07-09,0.0,0.0,0.0,0.0,-1.113071517210192e-16,0.0,0.0,-0.003829905748650794,-0.009314947425000041,-0.03084474958627746,0.0,-0.006143750283726872
2018-07-10,0.0,0.0,-0.0004112245012699504,0.0,-0.0036657035801777875,0.0,0.0,0.0,-0.004507263655204354,-0.021628916445262485,0.0,-0.0040067682774363785
2018-07-11,-0.007314560428977615,-0.0168155154114435,-0.0017628037800527436,-0.02119698806264523,-0.00843157805066305,-0.01641086927989898,-0.0039011537065532244,-0.003229384327522311,-0.007512056761939038,-0.012789091476158159,-0.007934039403438769,-0.0063218321175842656
2018-07-12,0.0,-0.01446115184216908,0.0,-0.019516744891497077,-0.0065986052562967395,-0.004882346216972443,0.0,-0.004559094281821484,-0.005108325869694322,-0.012037075132336443,0.0,0.0
2018-07-13,0.0,-0.014965701047119096,-0.0015454205834906996,-0.014346670488898833,-0.010997433418606362,0.0,-0.001101439755243623,0.0,-0.008413465095918532,-0.01184907104638091,0.0,0.0
2018-07-16,-0.0008942644906659772,-0.022868909547890937,-0.004442896040066562,-0.02572068257165492,0.0,-0.004067419820273973,-0.003442789850219119,-0.004740312707082586,-0.01382213708510217,-0.012789091476158159,-0.006063973937683127,0.0
2018-07-17,0.0,-0.010089264384755653,-0.004249609545437609,-0.029598341739258138,0.0,-0.00013567863773949378,0.0,0.0,-0.020432933503265534,-0.013541561936129574,-0.0005721722450812155,0.0
2018-07-18,0.0,-0.019337663274717472,-0.007147164217790055,-0.028951755114360513,0.0,0.0,-0.0016457010124958722,-0.008122458395878657,-0.024038640834285946,-0.018619670367985692,0.0,-0.0006197352072137697
2018-07-19,-0.003771677835790338,-0.01580656654191293,-0.014100883509398206,-0.028693134246488592,-0.015037642563591339,-0.00040231905122033347,-0.0052118177734584254,-0.007555900403304301,-0.014723693409285905,-0.009591841312926041,-0.005605231906933566,-0.0029209247766829104
2018-07-20,-0.004910496044624998,-0.01984191339892954,-0.017384535876349697,-0.03205403405140305,-0.013247326956052794,-0.0014751698544744106,-0.00493721553328469,-0.0015112330135158966,-0.023437504624693965,-0.01655071719017626,-0.007549736152599909,-0.007346495826182875
2018-07-23,-0.0030601305188417975,-0.02522312357679666,-0.01332789596243492,-0.03631896987166814,0.0,-0.007645806635158928,0.0,-0.0077446942532122835,-0.02614180362173467,-0.023509593067426476,-0.005490545840199344,-0.008408432635827842
2018-07-24,0.0,-0.012611561788398439,-0.006374255886603353,-0.02416957755835169,0.0,-0.003487230353768653,0.0,-0.005855697097030015,-0.028846176613877603,-0.020124338818238826,0.0,-0.011329502515579515
2018-07-25,0.0,-0.004876660972917206,0.0,-0.0160267758391742,0.0,0.0,0.0,0.0,-0.019230957064489837,-0.01730291518045777,0.0,-0.004071447009883099
2018-07-26,-0.002359294102593825,0.0,-0.03771495224127843,-0.005299212560443163,-0.0003557272199976909,0.0,-0.015355676308221091,0.0,-0.01592566984806139,-0.006770962614524583,-0.0028135878017731906,-0.009293706459103695
2018-07-27,-0.009119174070328868,-0.003696148019839597,-0.055974098714022674,-0.009564492932890222,0.0,0.0,-0.032193116273150205,0.0,-0.024939901178061198,-0.009968212777756492,-0.010017012913473892,-0.011860434644634807
2018-07-30,-0.014295155439531668,-0.00554440879822927,-0.07083592960432829,-0.0014219668554583081,0.0,-0.009867063014706818,-0.04727922030860299,-0.0011239511845058893,-0.025841383507142917,-0.01598670493230987,-0.009454080605229814,-0.019738152806010722
2018-07-31,-0.00943602642094637,0.0,-0.06465949589282599,-0.00323141709488767,-0.007104669655141368,0.0,-0.04471960948258048,0.0,-0.0069114385180615795,-0.00714697078643565,0.0,-0.015135410909400312
2018-08-01,-0.011090982261049698,-0.01021269974915838,-0.06852010336957973,-0.017060845848042877,-0.007104669655141368,-0.013520490408049618,-0.03609893125641894,-0.008399996338275303,-0.00030071609500044075,-0.013541561936129574,0.0,-0.02000354631900382
2018-08-02,-0.005703887042954085,-0.016742097785381,-0.062343432194266954,-0.02248919656633075,-0.006749436172384494,-0.01482102315640433,-0.023975912612623756,0.0,-0.005108325869694112,-0.008651548413458889,0.0,-0.01327649549389697
2018-08-03,-0.001443236733616102,-0.007366603425871733,-0.055974098714022674,-0.027530132811084067,-0.001065387742740684,-0.013910751686961436,-0.02047434555806769,0.0,0.0,0.0,0.0,-0.009913369114783082
2018-08-06,0.0,-0.007701306914388742,-0.04651646922342365,-0.02391102560091627,0.0,-0.012480357299870001,-0.015220890171836988,0.0,-0.0020869331290062133,0.0,0.0,-0.003275048816300216
2018-08-07,0.0,-0.004352783134695891,-0.04535827906493709,-0.016673017911889746,0.0,-0.005460163364137862,-0.01144919844231431,-0.006072693027709618,-0.004173719414983359,-0.0015000539128558754,0.0,0.0
2018-08-08,-0.0004200871354259001,-0.008538288969859503,-0.0461303530675258,-0.023782025263944347,0.0,-0.009879968165862224,-0.00875502244078698,-0.01361777023569931,-0.010435179595632489,-0.006749292003343006,0.0,0.0
2018-08-09,-0.0017855057598707349,-0.0031810975907079035,-0.040918972281957504,-0.032829207550654445,-0.005971168890959293,-0.015340469711351015,-0.008350995472953588,-0.016562366699209605,-0.008646190972589762,-0.00225003560240231,-0.0011096134483996269,0.0
2018-08-10,-0.008473733568808522,-0.017578930951399747,-0.049025590999931465,-0.02688382182793202,-0.017562343288605432,-0.024051119492998544,-0.01629851638027198,-0.02024276848449798,-0.018187096521244592,-0.006561887114718934,-0.00543710589715765,-0.00835753563101024
2018-08-13,-0.012185717157781613,-0.027456852767314893,-0.05037676008176341,-0.0392916282778111,-0.027045996296822656,-0.02873132393489779,-0.017645383420156258,-0.02024276848449798,-0.018485114448722507,-0.005249781293063079,-0.005104703048001429,-0.013372143542971265
2018-08-14,-0.00588254414255643,-0.019253341730698186,-0.043621152136414286,-0.03696548758612948,-0.01791350667287745,-0.0219708532766391,-0.01158376361781892,-0.013434012289435714,-0.014609559804246339,-0.003187150579285051,-0.00044403785350535964,-0.0037828777171926087
2018-08-15,-0.013305969583259762,-0.03482338174846062,-0.05693899333074967,-0.07056993754647149,-0.025640956271308354,-0.02665094499142151,-0.020474345558067476,-0.00938506322932167,-0.00596270803802567,0.0,-0.0021084580261046953,-0.015923435287653373
2018-08-16,-0.005322267447249885,-0.028963762912902705,-0.05732503033204403,-0.0638491715931886,-0.012644587252777124,-0.014300336603171187,-0.016163509283008384,0.0,0.0,0.0,0.0,-0.01108477853049808
2018-08-17,-0.001820778873692156,-0.02176466012074149,-0.061764495424230605,-0.061522617438888615,-0.010537297756403857,-0.008320275775618875,-0.014681966587179641,0.0,0.0,0.0,0.0,-0.010204950645340907
2018-08-20,0.0,-0.014900260817097395,-0.06022050572826028,-0.05518940378001306,-0.007376208916473809,-0.001690004937447626,-0.016163509283008384,-0.0005454790852996563,0.0,-0.0034851331572947207,0.0,-0.0031672650087601895
2018-08-21,0.0,-0.011049681804628925,-0.05443010901805224,-0.050407019492695264,-0.0035123295218877824,0.0,-0.014547180450795538,-0.007633736175212059,-0.009128357681663162,-0.01063839398488334,0.0,0.0
2018-08-22,-0.0005937888283775508,-0.016072244139989634,-0.05558782424891773,-0.03903335196212126,-0.0070247363414606395,-0.00969532128648657,-0.01158376361781892,-0.013813625432601548,-0.015312088531400704,-0.01797526934560229,0.0,0.0
2018-08-23,-0.0019210038134918478,-0.022769291699375114,-0.059448273416464574,-0.043556839739821766,-0.011590942504590704,-0.012539165627816918,-0.009429174083586773,-0.01617600995546017,-0.01766776099155496,-0.018708930309382792,-0.0003277456041844329,-0.0009622165983188355
2018-08-24,0.0,-0.01004519911544688,-0.04574423691162806,-0.036577521829103454,-0.00807876757807371,-0.008273174943951548,0.0,-0.017448200284029325,-0.010895075770046054,-0.014490136188307566,0.0,0.0
2018-08-27,0.0,0.0,-0.03647950718977092,-0.02946885902923114,0.0,0.0,0.0,-0.016902975857499686,-0.012367606726407111,-0.02054303843168175,0.0,0.0
2018-08-28,0.0,-0.0038372372248063405,-0.040725835049405135,-0.0336047256020877,-0.0010481224375556307,-0.002059424876696093,0.0,-0.020174746847961087,-0.00029425964548743526,-0.022560495364197974,0.0,0.0
2018-08-29,0.0,0.0,-0.035321475340491564,-0.027659202058492705,-0.001397522214259671,-0.0012873079627037105,0.0,-0.019084213108644933,-0.001766718088382479,-0.01540714596230473,0.0,0.0
2018-08-30,-0.004048370018873007,-0.011801923058445041,-0.04130493012864847,-0.030373377417636748,-0.009084547979417606,-0.008238257556014138,-0.0030354248728824544,-0.02217390307856976,-0.007066872353530328,-0.015040625490480054,-0.00075372961213227,-0.005718710978100326
2018-08-31,-0.0040144006524006,-0.014793979669595838,-0.05076279708305787,-0.03787000597453519,-0.010132670416973237,-0.007594268745124402,-0.0022437961115903994,-0.02253738602958952,-0.0032391765312777287,-0.019258799591424333,-0.0009689875424958934,-0.0017923138016976026
2018-09-04,-0.005729853659261687,-0.021609166346994627,-0.06253625280840534,-0.03993807708183615,-0.005241150435673587,-0.008366943708346132,-0.0060710662448109675,-0.02380966124441535,-0.01207298451358899,-0.01485709953165435,-0.00893707968671149,0.0
