,0
XLP,-0.02292517028649737
XLV,-0.02762142058552354
XLI,-0.03686098701739932
XLK,-0.03690452871782481
XLB,-0.050987937248358144
XLU,-0.05973874100388771
XLF,-0.07392195565911454
XLY,-0.09581621446151105
XLC,-0.10412903186683425
XLRE,-0.11068788832463046
XLE,-0.16415920157305225
